x,y
20,161.20199584960938
20,152.77032470703125
20,144.33865356445312
20,135.906982421875
20,127.47531127929688
20,119.04364776611328
20,110.61197662353516
20,102.18030548095703
20,93.7486343383789
20,85.31696319580078
20,76.88529968261719
20,68.45362854003906
20,60.02195739746094
20,51.59028625488281
20,43.15861511230469
20,34.72694396972656
20,26.295272827148438
24.116328716278076,21.575871348381042
32.52116298675537,20.906658172607422
40.938589096069336,20.419822812080383
49.36515426635742,20.131926119327545
57.795860290527344,20.012272874824703
66.22623443603516,20.100059911608696
74.62934875488281,20.764582693576813
82.93264389038086,22.20735216140747
90.99768829345703,24.644315719604492
98.55036163330078,28.36507797241211
105.2137222290039,33.500566482543945
110.39655303955078,40.12031364440918
113.49061584472656,47.932058334350586
114.40093231201172,56.293914794921875
113.35883331298828,64.63928985595703
110.09815979003906,72.37928771972656
104.73019409179688,78.84951400756836
98.01834869384766,83.92956924438477
92.29707336425781,87.72137451171875
99.9909896850586,91.15380859375
107.02228546142578,95.78362274169922
112.87808990478516,101.82068634033203
116.90304565429688,109.19692993164062
118.78656005859375,117.39228820800781
118.80705261230469,125.81069946289062
117.13053894042969,134.05652618408203
113.5705795288086,141.67613220214844
108.28340148925781,148.21974182128906
101.7159652709961,153.48434448242188
94.29481506347656,157.46507263183594
86.32151794433594,160.18527221679688
78.07596206665039,161.92723083496094
69.70046615600586,162.8774871826172
61.27656555175781,163.19921875
52.84511947631836,163.1425018310547
44.41651153564453,162.92425537109375
35.99429798126221,162.52806091308594
27.582406997680664,161.9556121826172
60.98870086669922,96.802001953125
52.55725860595703,96.802001953125
44.12550163269043,96.802001953125
39,100.10810852050781
39,108.53984069824219
39,116.9715805053711
39,125.40320587158203
39,133.83486938476562
39,142.26649475097656
43.47377586364746,146.64864349365234
51.88718223571777,147.19244384765625
60.315914154052734,147.39734649658203
68.74057006835938,147.13525390625
77.07934188842773,145.92984771728516
85.10420989990234,143.3866729736328
92.28663635253906,139.0264434814453
97.46040344238281,132.447021484375
99.5351333618164,124.32843780517578
98.79139709472656,115.96978759765625
95.05996704101562,108.47551727294922
88.76548767089844,102.92869567871094
81.13033676147461,99.40469360351562
72.91608047485352,97.54487609863281
64.51852416992188,96.84146881103516
39,42.114784240722656
39,50.54653549194336
39,58.978248596191406
39,67.40994262695312
39,75.84138870239258
41.27099609375,82.00199890136719
49.702911376953125,82.00199890136719
58.134681701660156,82.00199890136719
66.5605583190918,81.78127670288086
74.87324905395508,80.42993927001953
82.74320983886719,77.45868301391602
89.5385513305664,72.51968765258789
94.143798828125,65.53278732299805
95.38438415527344,57.25143051147461
93.40348815917969,49.11579704284668
88.09916687011719,42.65309143066406
80.76530075073242,38.55050086975098
72.64469146728516,36.33418655395508
64.26411056518555,35.46634292602539
55.83369445800781,35.4515495300293
47.40959548950195,35.79356288909912
